id_transacao,id_cliente,valor,tipo,banco_origem,banco_destino,data,data_part,banco_origem_nome,banco_destino_nome,cpf_mascarado,cidade,estado
6378b0e6-6d60-4194-865f-49b9ef65b608,5d4f17df-7250-4b22-b9b9-3df097c27527,6892.25,PIX,104,237,2025-06-12 03:02:47.521755,2025-06-12,Caixa Econômica Federal,Bradesco,***.391.***-61,São Sebastião do Paraíso,RS
45983ede-d8ad-408a-993d-8b60e249d771,6d2ee775-a4a0-4be8-9b21-efd393eea9fb,4888.39,TED,104,001,2025-06-12 17:35:03.857894,2025-06-12,Caixa Econômica Federal,Banco do Brasil,***.631.***-84,Edealina,PI
34ac7947-1c05-4be4-866f-7c918465afa5,839f3b23-343b-4fec-bd02-d2c341b8a8fc,4899.74,Cartão,341,104,2025-06-12 16:25:33.881045,2025-06-12,Itaú Unibanco,Caixa Econômica Federal,***.471.***-16,São Tomás de Aquino,PR
5a3b272e-53c9-4e65-8d04-9e3e0f9003d1,317e918d-b9f8-48a9-98f5-49ef0abcab96,5906.17,DOC,341,104,2025-06-12 18:16:27.305677,2025-06-12,Itaú Unibanco,Caixa Econômica Federal,***.704.***-47,Braço do Norte,PB
e1f5e670-49f4-45ab-8f7f-e1ab14470d83,5bb335da-5971-4645-8ca8-1cfb907ee402,978.25,DOC,237,341,2025-06-12 05:02:38.687655,2025-06-12,Bradesco,Itaú Unibanco,***.179.***-21,Rio Grande da Serra,BA
b4b05344-526d-4bc6-8749-30c15c9af68f,20377d52-c7a0-4873-be6b-355ebc29c5bf,4388.69,PIX,001,237,2025-06-12 22:14:06.779385,2025-06-12,Banco do Brasil,Bradesco,***.742.***-62,Novo Santo Antônio,RN
d75209bd-7daa-4695-b76f-6f9c2c56fdad,72592970-dd21-4109-803a-d8d1787eff25,4944.09,TED,001,001,2025-06-12 01:37:20.807218,2025-06-12,Banco do Brasil,Banco do Brasil,***.873.***-31,Lafaiete Coutinho,PI
92b11181-f03a-40d6-9df6-1eb435bd2468,d277a7b7-51f5-483a-afc9-f7ee0263aef0,4252.22,Cartão,033,237,2025-06-12 01:23:41.614466,2025-06-12,Santander,Bradesco,***.042.***-03,Grossos,PE
94477d8d-9d79-40a6-8c33-1aa3abc60467,66169488-297d-437f-a6ec-fb429575ed66,5112.56,DOC,104,104,2025-06-12 03:28:33.661485,2025-06-12,Caixa Econômica Federal,Caixa Econômica Federal,***.457.***-88,Santo Antônio do Monte,RS
d6638f07-70c0-4f96-9c05-2376c59317d1,4f159a34-4975-4959-b0ed-45c5946d5918,2033.75,TED,341,104,2025-06-12 03:52:41.129417,2025-06-12,Itaú Unibanco,Caixa Econômica Federal,***.341.***-43,Lago dos Rodrigues,MS
827c1b64-cd2c-4110-8863-3cf4b6f06549,cccae619-d170-4a54-8808-d504b219502b,4188.02,Cartão,033,033,2025-06-12 23:44:53.029243,2025-06-12,Santander,Santander,***.293.***-61,Rosário Oeste,GO
d0b91fba-aa96-44be-8cbe-7aacff1ca6ed,9fa610f0-7cb8-4c14-bfdf-cd0d08af6474,1688.57,PIX,001,033,2025-06-12 06:37:02.656143,2025-06-12,Banco do Brasil,Santander,***.198.***-79,Itaguaí,PA
c4f225b6-0b75-4281-bd5c-84d8818eccab,ef67fb10-5502-416c-b777-a102ce7f3e9b,987.36,DOC,341,033,2025-06-12 14:34:17.349942,2025-06-12,Itaú Unibanco,Santander,***.857.***-40,Goianinha,BA
531148be-6081-41e4-88f6-66de73073266,111d3fbe-0983-4064-ab73-bd4051a2e17f,1506.72,DOC,033,001,2025-06-12 15:09:34.351365,2025-06-12,Santander,Banco do Brasil,***.758.***-04,Tomar do Geru,MG
88cfa17a-a944-4881-80ea-476345ee7e9a,a0cdfa0b-5117-4add-8142-ddea8dfa9de8,926.09,PIX,237,033,2025-06-12 00:23:23.644322,2025-06-12,Bradesco,Santander,***.751.***-12,Presidente Vargas,SE
dcef1d9e-3848-42a6-a958-69aa6244ff00,81c25019-f558-49e8-9a95-578d50ce609e,5016.05,DOC,104,104,2025-06-12 11:16:14.495262,2025-06-12,Caixa Econômica Federal,Caixa Econômica Federal,***.926.***-85,Santa Fé de Minas,PB
7c9ffad8-7e55-491c-bf15-bf237f684f35,81e81e3b-d5dd-45bb-bc33-04c107acf1b4,2494.23,Cartão,341,237,2025-06-12 16:33:19.060162,2025-06-12,Itaú Unibanco,Bradesco,***.429.***-00,Jardim de Piranhas,GO
940d1ba4-1beb-40a6-a9e7-59d1cd35c5d0,b7a96793-686a-45ff-a698-72034c2067ee,3379.86,TED,237,001,2025-06-12 07:34:59.369736,2025-06-12,Bradesco,Banco do Brasil,***.965.***-82,Santos,SP
1f2a70b5-14a3-4c0c-bf0f-606a8defa37b,2bca168e-7019-4529-9bbd-16c2693a29c8,4808.88,PIX,104,341,2025-06-12 16:59:46.731115,2025-06-12,Caixa Econômica Federal,Itaú Unibanco,***.369.***-52,Nova Olinda,MA
2c6dc372-9afc-4442-97ff-d388f9102776,c51f7b95-b18d-4346-bc3f-0e93afe05b2e,4667.61,Cartão,033,033,2025-06-12 01:49:07.102832,2025-06-12,Santander,Santander,***.246.***-91,Adustina,MG
eda94144-e357-44e9-90f8-96223255a32b,0da36d41-9489-46a2-8939-a7b56e2c8fed,1260.42,PIX,104,001,2025-06-12 16:37:30.433678,2025-06-12,Caixa Econômica Federal,Banco do Brasil,***.196.***-64,Joaquim Pires,PI
e0ae55a4-0ed9-4530-9e33-263d87c8ccca,96e40ff6-7b7e-49cc-b22a-64c70936e0b4,5436.05,PIX,033,104,2025-06-12 05:43:02.461997,2025-06-12,Santander,Caixa Econômica Federal,***.683.***-56,Jaguaruana,RS
add28087-2a51-4f23-92c5-0b1d13549c20,6a00cc29-0388-4fba-b132-3a2a451d7cd9,2964.53,PIX,104,001,2025-06-12 04:39:53.852209,2025-06-12,Caixa Econômica Federal,Banco do Brasil,***.380.***-04,Porangaba,RN
f99ac232-e1b8-4cd9-991a-61be26833b66,d108a4bd-9fb2-4f78-8cb3-515cc8b61e15,1800.75,Cartão,033,237,2025-06-12 05:01:11.697298,2025-06-12,Santander,Bradesco,***.401.***-13,Nova Roma do Sul,RS
b74190b3-22d1-4492-b995-f173f3093f0f,37715d65-c59b-4819-8ccf-0b6ac15e1f38,5285.16,DOC,001,237,2025-06-12 12:48:19.319397,2025-06-12,Banco do Brasil,Bradesco,***.487.***-29,Laranjal Paulista,MG
e3611b61-3fc6-480e-81e6-e0873cb4faca,a402d82c-f636-4c28-b794-e8a286708a30,4453.36,TED,001,341,2025-06-12 23:46:18.114585,2025-06-12,Banco do Brasil,Itaú Unibanco,***.018.***-88,Guarani das Missões,SE
3fb44a30-a71b-4122-a804-9bd407bd319c,282d1840-e793-4675-aba2-3ff23b900adc,5859.74,Cartão,104,001,2025-06-12 20:47:03.334532,2025-06-12,Caixa Econômica Federal,Banco do Brasil,***.216.***-02,Estiva Gerbi,SC
2aa94b31-adcf-4412-81a0-1836a1655d5c,89cbcfd8-86ac-4528-bb53-87055dfd5071,4595.41,TED,001,001,2025-06-12 17:37:11.574542,2025-06-12,Banco do Brasil,Banco do Brasil,***.980.***-84,Indiaporã,MG
315cdb60-cadc-43ff-8a15-389fdcc4b95f,64a661ba-ff68-476e-9fe9-5f64fa569fcd,1636.27,DOC,237,341,2025-06-12 17:14:54.692108,2025-06-12,Bradesco,Itaú Unibanco,***.824.***-79,Rondon,ES
01247f18-a661-4989-b364-39eb13e3c774,5ba6fc94-ee5b-432e-a86c-733649abcea8,2318.96,TED,001,341,2025-06-12 06:16:38.944276,2025-06-12,Banco do Brasil,Itaú Unibanco,***.061.***-95,São Roberto,MT
0c5f2c84-026e-4d3c-8192-d238af950ee8,4392f62c-ca2e-4f0b-994f-95dfb8c8f811,6254.29,Cartão,001,341,2025-06-12 00:06:24.270431,2025-06-12,Banco do Brasil,Itaú Unibanco,***.351.***-91,Correia Pinto,RS
a183536a-0a7d-42ba-a936-6d847d38142f,8d5bf58c-f2b4-430f-992c-1e1e09a1604b,6025.41,DOC,001,341,2025-06-12 13:59:34.745021,2025-06-12,Banco do Brasil,Itaú Unibanco,***.027.***-70,Pedro Teixeira,CE
2a088e53-1087-40fb-85b5-0b6f815bccea,81702407-10f1-4743-8e04-8c05f2fa49d8,3079.68,TED,237,237,2025-06-12 13:44:57.135965,2025-06-12,Bradesco,Bradesco,***.106.***-94,Floriano Peixoto,SE
94e3e093-9a35-45e8-91c7-fab2968c79a9,2cebe39b-49a8-46d6-b57d-06d73c8e6c91,618.61,TED,104,033,2025-06-12 06:54:25.774230,2025-06-12,Caixa Econômica Federal,Santander,***.471.***-05,Paraguaçu,PR
393309e8-8006-4bb6-b79d-d1924be44a99,d9d3c07b-cdce-4fa4-8d30-d723f4fcdadc,2073.98,TED,033,001,2025-06-12 04:45:40.173073,2025-06-12,Santander,Banco do Brasil,***.629.***-02,Trombas,SC
113793d1-21f7-4a8f-ada9-506d8718e6ed,6afc994c-6c74-4e84-a648-80e8223366d1,2902.26,TED,104,341,2025-06-12 23:30:19.279459,2025-06-12,Caixa Econômica Federal,Itaú Unibanco,***.916.***-95,Jacupiranga,SC
b0500579-1ec4-4f2d-b045-706c652a5f02,d8fb20b0-9d96-4fda-999b-33d20a026a60,3921.1,Cartão,104,001,2025-06-12 23:55:06.306396,2025-06-12,Caixa Econômica Federal,Banco do Brasil,***.621.***-28,Propriá,SC
152f02ea-3ec6-4891-b047-63e0f7e29576,256ea926-524a-495d-aade-dce5319856f3,2810.24,DOC,033,033,2025-06-12 23:37:54.668729,2025-06-12,Santander,Santander,***.184.***-57,Aurelino Leal,PE
0d96e4d9-8f4b-4257-be8f-6af63f0c0e86,28d3e923-b661-499b-9c83-d35fc3e83617,7601.25,TED,033,104,2025-06-12 16:36:47.253414,2025-06-12,Santander,Caixa Econômica Federal,***.379.***-06,Capela,RN
1823ca54-0d03-4512-a750-023d025d89f1,146311fa-edda-4d96-8d2b-343498c0c371,6551.47,PIX,033,001,2025-06-12 01:07:58.628865,2025-06-12,Santander,Banco do Brasil,***.862.***-13,General Carneiro,RS
65ff7263-a0dd-487e-9a08-94d85c399f95,91f05f0c-e595-44a8-8d6c-279ffbeedb58,3523.81,PIX,033,001,2025-06-13 20:36:02.897807,2025-06-13,Santander,Banco do Brasil,***.106.***-61,Sampaio,MG
0583f00e-eab7-4c94-86f6-8a46fedf9d69,6cc6e6c3-2135-4923-a9a4-2a7d808872a4,1052.88,TED,033,341,2025-06-13 12:17:32.683376,2025-06-13,Santander,Itaú Unibanco,***.905.***-95,Boa Vista da Aparecida,RS
3d90b5b9-765a-414a-813b-dedbcf89167c,3de2d69c-8b33-467d-aae4-da330534c080,3918.25,TED,237,033,2025-06-13 23:53:57.018475,2025-06-13,Bradesco,Santander,***.523.***-83,Barro Alto,BA
4612b670-b386-41a9-aaec-217f65044929,0944774a-b3be-430e-a978-757abece4fde,4267.05,PIX,104,001,2025-06-13 22:52:08.058031,2025-06-13,Caixa Econômica Federal,Banco do Brasil,***.341.***-50,Rubinéia,PB
eff8c42e-59ad-4b8a-929f-d186885a49ad,f625a9f1-faf8-4dcf-bb20-a0021d0f058e,5011.8,PIX,001,104,2025-06-13 01:38:04.540430,2025-06-13,Banco do Brasil,Caixa Econômica Federal,***.317.***-48,São Pedro da Serra,MT
110dedc2-8b28-4f27-a831-ed62cb9df086,3b61cf80-9f05-478e-9828-8127f351f4d8,2771.57,DOC,001,033,2025-06-13 11:35:03.676653,2025-06-13,Banco do Brasil,Santander,***.915.***-14,Campinápolis,RS
fc3df314-4efe-4f8e-ad94-64a92c57b413,ca398e5e-99f4-4358-8edb-193025e91760,4073.5,TED,341,001,2025-06-13 17:26:40.942241,2025-06-13,Itaú Unibanco,Banco do Brasil,***.019.***-01,Maringá,SP
a1ff0b25-9be1-4096-85fd-5ac098e593d8,d827e22e-a559-407b-b9d3-a70f71a3ae6e,548.52,PIX,033,341,2025-06-13 11:08:47.904464,2025-06-13,Santander,Itaú Unibanco,***.308.***-44,Ibiraci,GO
79152afa-27bc-4e8b-afcd-7f64522f9be3,fafb9642-b9d4-4d52-9135-47f5c669d6a9,6828.31,Cartão,001,033,2025-06-13 00:43:07.423242,2025-06-13,Banco do Brasil,Santander,***.628.***-07,Paripiranga,MA
b1912c79-9380-4ed7-99ce-e790fe3b6815,3fcd0e1e-7fe1-458b-ae3f-7d2da270eb0b,527.46,DOC,341,104,2025-06-13 23:13:46.044796,2025-06-13,Itaú Unibanco,Caixa Econômica Federal,***.862.***-38,Quevedos,RN
9dea9a8d-39d4-4ac2-8498-4188c145aefa,544433cd-5161-4081-aa04-554f9b711fb2,5351.05,TED,033,001,2025-06-13 06:29:13.498545,2025-06-13,Santander,Banco do Brasil,***.485.***-17,Angelina,PE
431c8415-a17d-45a3-8ee7-6ac87833e4db,c0ccd792-7bcf-407d-8484-716776abc55e,3288.09,PIX,237,341,2025-06-13 15:35:39.777359,2025-06-13,Bradesco,Itaú Unibanco,***.173.***-84,Mariana Pimentel,RN
94bba7c2-e80a-4705-8e56-a79de689c21e,99ab781a-a757-46b6-ae84-09379515e495,1149.24,TED,104,001,2025-06-13 11:35:43.334623,2025-06-13,Caixa Econômica Federal,Banco do Brasil,***.539.***-42,Piracuruca,MA
b4e2a507-dddf-4829-a94e-32feac74fed7,474613fa-a876-43bf-8424-54b854e77f3d,4001.69,TED,001,341,2025-06-13 22:01:12.765950,2025-06-13,Banco do Brasil,Itaú Unibanco,***.830.***-83,Itaoca,PE
56d83899-dcf9-4489-80e2-6f68bb052040,400d012f-1377-401f-aa15-b0e46ab60dfe,2600.38,DOC,104,237,2025-06-13 22:18:58.887517,2025-06-13,Caixa Econômica Federal,Bradesco,***.032.***-38,Matões,MG
7119e64e-7863-4074-9357-980f428af4a0,274ab9db-5a95-43c9-aa18-61286ea4ed11,490.65,DOC,033,237,2025-06-13 05:48:26.091619,2025-06-13,Santander,Bradesco,***.519.***-76,Santa Maria do Pará,PI
6bc354a8-af15-4a5f-97fb-35fa5930da48,5ea9c99d-4aaf-4a46-9b3b-259c4a63107e,3676.57,TED,001,237,2025-06-13 13:00:59.993345,2025-06-13,Banco do Brasil,Bradesco,***.837.***-80,Contendas do Sincorá,SE
19d1e8ae-50a5-4a37-a78e-268b07ee2f42,7f74857e-80e9-48a9-8b2d-f39719f712ce,1699.46,PIX,001,341,2025-06-13 11:15:25.971271,2025-06-13,Banco do Brasil,Itaú Unibanco,***.159.***-85,Xapuri,CE
c7c71279-5b4c-4db6-8e65-15bab2c34817,8372adf3-f701-41f0-bc65-03a4f94e8bcd,7678.38,Cartão,001,001,2025-06-13 16:37:02.160442,2025-06-13,Banco do Brasil,Banco do Brasil,***.805.***-02,Santa Rita de Caldas,GO
5a16e59f-0a7c-4028-87ea-f05718ece6f7,2ecb837c-44f8-4c74-b634-cce71ba5712e,6867.34,PIX,033,237,2025-06-13 10:50:00.053073,2025-06-13,Santander,Bradesco,***.910.***-40,Altamira do Paraná,BA
9f9d5d6e-7164-432d-9689-411803d4a813,b353cc37-0073-40d1-a289-cd332bf2b25f,4337.33,DOC,001,341,2025-06-13 01:52:43.568140,2025-06-13,Banco do Brasil,Itaú Unibanco,***.962.***-55,Canguçu,MA
1b471dea-d0bb-4f64-a641-fa28c5d17c81,f2ce7cf8-8e8f-4b38-a390-c717e8dfb4b4,2937.87,PIX,033,033,2025-06-13 08:38:04.507332,2025-06-13,Santander,Santander,***.019.***-68,Alto Jequitibá,PI
